racer,athlete_name,athlete_url,distance,year,best_time,best_time_seconds,best_date,best_venue
Derek Brailsford,Derek Brailsford,https://www.powerof10.uk/Home/Athlete/d99a9ba5-c894-456e-b5c8-29406f735935,p10_10k,2022,1:08:04,4084.0,11/12/2022,Nottingham
Derek Brailsford,Derek Brailsford,https://www.powerof10.uk/Home/Athlete/d99a9ba5-c894-456e-b5c8-29406f735935,p10_10k,2025,1:18:35,4715.0,18/05/2025,Holymoorside
Eric Latham,Eric Latham,https://www.powerof10.uk/Home/Athlete/b9b630fe-0def-42a6-a29c-9d7936239683,p10_10k,2016,40:52,2452.0,18/05/2016,Askern
Eric Latham,Eric Latham,https://www.powerof10.uk/Home/Athlete/b9b630fe-0def-42a6-a29c-9d7936239683,p10_10k,2017,45:14,2714.0,03/12/2017,Sheffield
Eric Latham,Eric Latham,https://www.powerof10.uk/Home/Athlete/b9b630fe-0def-42a6-a29c-9d7936239683,p10_10k,2018,43:31,2611.0,04/02/2018,Dewsbury
Eric Latham,Eric Latham,https://www.powerof10.uk/Home/Athlete/b9b630fe-0def-42a6-a29c-9d7936239683,p10_10k,2024,50:31,3031.0,01/12/2024,Sheffield
Eric Latham,Eric Latham,https://www.powerof10.uk/Home/Athlete/b9b630fe-0def-42a6-a29c-9d7936239683,p10_5k,2016,20:24,1224.0,13/07/2016,Doncaster
Eric Latham,Eric Latham,https://www.powerof10.uk/Home/Athlete/b9b630fe-0def-42a6-a29c-9d7936239683,p10_5k,2017,20:41,1241.0,12/07/2017,Doncaster
Eric Latham,Eric Latham,https://www.powerof10.uk/Home/Athlete/b9b630fe-0def-42a6-a29c-9d7936239683,p10_5k,2018,21:04,1264.0,18/07/2018,Doncaster
Helen Elleker,Helen Elleker,https://www.powerof10.uk/Home/Athlete/074e68b3-77ac-4c81-b41b-ffb0f1022dae,p10_10k,2016,53:18,3198.0,18/05/2016,Askern
Helen Elleker,Helen Elleker,https://www.powerof10.uk/Home/Athlete/074e68b3-77ac-4c81-b41b-ffb0f1022dae,p10_10k,2017,58:12,3492.0,03/12/2017,Sheffield
Helen Elleker,Helen Elleker,https://www.powerof10.uk/Home/Athlete/074e68b3-77ac-4c81-b41b-ffb0f1022dae,p10_10k,2018,56:33,3393.0,16/05/2018,Askern
Helen Elleker,Helen Elleker,https://www.powerof10.uk/Home/Athlete/074e68b3-77ac-4c81-b41b-ffb0f1022dae,p10_10k,2019,56:07,3367.0,01/12/2019,Sheffield
Helen Elleker,Helen Elleker,https://www.powerof10.uk/Home/Athlete/074e68b3-77ac-4c81-b41b-ffb0f1022dae,p10_10k,2021,59:50,3590.0,05/12/2021,Sheffield
Helen Elleker,Helen Elleker,https://www.powerof10.uk/Home/Athlete/074e68b3-77ac-4c81-b41b-ffb0f1022dae,p10_10k,2022,1:01:55,3715.0,04/12/2022,Sheffield
Helen Elleker,Helen Elleker,https://www.powerof10.uk/Home/Athlete/074e68b3-77ac-4c81-b41b-ffb0f1022dae,p10_10k,2024,1:00:38,3638.0,01/12/2024,Sheffield
Helen Elleker,Helen Elleker,https://www.powerof10.uk/Home/Athlete/074e68b3-77ac-4c81-b41b-ffb0f1022dae,p10_10k,2025,1:02:05,3725.0,07/12/2025,Sheffield
Helen Elleker,Helen Elleker,https://www.powerof10.uk/Home/Athlete/074e68b3-77ac-4c81-b41b-ffb0f1022dae,p10_5k,2024,29:37,1777.0,03/07/2024,Sheffield
Jane Cockerton,Jane Cockerton,https://www.powerof10.uk/Home/Athlete/8ff8873a-bb6e-4e5d-b0da-a169970e1c51,p10_10k,2017,1:21:20,4880.0,03/12/2017,Sheffield
Jane Cockerton,Jane Cockerton,https://www.powerof10.uk/Home/Athlete/8ff8873a-bb6e-4e5d-b0da-a169970e1c51,p10_10k,2018,1:00:25,3625.0,24/06/2018,Penistone
Jane Cockerton,Jane Cockerton,https://www.powerof10.uk/Home/Athlete/8ff8873a-bb6e-4e5d-b0da-a169970e1c51,p10_10k,2019,1:07:23,4043.0,30/06/2019,Penistone
Jane Cockerton,Jane Cockerton,https://www.powerof10.uk/Home/Athlete/8ff8873a-bb6e-4e5d-b0da-a169970e1c51,p10_10k,2020,1:05:32,3932.0,26/01/2020,Meltham
Jane Cockerton,Jane Cockerton,https://www.powerof10.uk/Home/Athlete/8ff8873a-bb6e-4e5d-b0da-a169970e1c51,p10_10k,2024,1:08:15,4095.0,23/06/2024,Penistone
Jane Cockerton,Jane Cockerton,https://www.powerof10.uk/Home/Athlete/8ff8873a-bb6e-4e5d-b0da-a169970e1c51,p10_10k,2026,1:06:53,4013.0,25/01/2026,Meltham
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_10k,2017,1:14:55,4495.0,24/09/2017,Sheffield
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_10k,2018,1:11:52,4312.0,23/09/2018,Sheffield
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_10k,2019,1:09:18,4158.0,29/09/2019,Doncaster
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_10k,2020,1:13:37,4417.0,15/03/2020,Dronfield Woodhouse
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_10k,2021,1:04:02,3842.0,28/11/2021,Doncaster
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_10k,2022,57:47,3467.0,27/11/2022,Doncaster
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_10k,2023,59:43,3583.0,15/10/2023,Holmfirth
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_10k,2024,53:53,3233.0,24/11/2024,Doncaster
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_10k,2025,54:04,3244.0,21/09/2025,North Shields
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_10k,2026,53:19,3199.0,19/04/2026,Dronfield Woodhouse
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_5k,2023,27:20,1640.0,05/07/2023,Sheffield
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_5k,2024,25:23,1523.0,05/06/2024,Sheffield
Jo Gleig,Jo Gleig,https://www.powerof10.uk/Home/Athlete/2deaed00-d558-43aa-85d0-c2efe5138da8,p10_5k,2025,25:44,1544.0,02/07/2025,Sheffield
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_10k,2018,34:48,2088.0,02/12/2018,Sheffield
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_10k,2019,34:53,2093.0,01/12/2019,Sheffield
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_10k,2020,33:27,2007.0,18/10/2020,Northwich
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_10k,2021,33:48,2028.0,19/12/2021,Long Bennington
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_10k,2022,32:53,1973.0,23/10/2022,Leeds
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_10k,2023,33:24,2004.0,29/01/2023,Chesterfield
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_10k,2024,32:34,1954.0,03/03/2024,Partington
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_10k,2025,32:15,1935.0,07/12/2025,Sheffield
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_10k,2026,33:23,2003.0,22/03/2026,Pulford
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_5k,2019,16:09,969.0,10/07/2019,Doncaster
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_5k,2021,16:02,962.0,21/04/2021,Dalton on Tees
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_5k,2022,15:32,932.0,26/08/2022,Kingsley
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_5k,2025,15:12,912.0,29/08/2025,Kingsley
Keith Swainson,Keith Swainson,https://www.powerof10.uk/Home/Athlete/65a8ecfe-56ab-47fc-925c-5b5f33feb9a9,p10_5k,2026,16:06,966.0,12/04/2026,London Dulwich Park
